,drugs,match_substructures?
100,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,False
101,COc1ccc(OC)c(C(O)CN=C(O)CN)c1,False
102,CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,False
103,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,False
104,Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(O)=NC(C)C)c1,False
105,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,False
106,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,False
107,CN=C(NC)NCc1ccccc1,False
108,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,False
109,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,False
110,Cc1c(O)cccc1C(O)=N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(O)=NC(C)(C)C,False
111,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,False
112,CCC1=C(C)CN(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCC(C)CC3)cc2)C1=O,False
113,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,False
114,CC(C)(C)N=C(O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O,False
115,CN=C([O-])CN(CCN(CCN(CC(=O)O)CC([O-])=NC)CC(=O)[O-])CC(=O)O.O.[Gd+3],False
